faprotax_taxa	ncbi_taxa	rank
Cellvibrio fulvus	Cellvibrio fulvus	species
Cenarchaeum symbiosum	Cenarchaeum symbiosum	species
Centipeda periodontii	Centipeda periodontii	species
Cetia pacifica	Cetia pacifica	species
Cetobacterium somerae	Cetobacterium somerae	species
Chitinibacter tainanensis	Chitinibacter tainanensis	species
Chitinilyticum litopenaei	Chitinilyticum litopenaei	species
Chitinivibrio alkaliphilus	Chitinivibrio alkaliphilus	species
Chitinolyticbacter meiyuanensis	Chitinolyticbacter meiyuanensis	species
Chitinophaga filiformis	Chitinophaga filiformis	species
Chitinophaga ginsengisegetis	Chitinophaga ginsengisegetis	species
Chitinophaga ginsengisoli	Chitinophaga ginsengisoli	species
Chitinophaga pinensis	Chitinophaga pinensis	species
Chitinophaga sancti	Chitinophaga sancti	species
Chlamydia trachomatis	Chlamydia trachomatis	species
Chloracidobacterium thermophilum	Chloracidobacterium thermophilum	species
Chlorobaculum limnaeum	Chlorobaculum limnaeum	species
Chlorobaculum parvum	Chlorobaculum parvum	species
Chlorobaculum tepidum	Chlorobaculum tepidum	species
Chlorobaculum thiosulfatiphilum	Chlorobaculum thiosulfatiphilum	species
Chlorobium chlorochromatii	Chlorobium chlorochromatii	species
Chlorobium ferrooxidans	Chlorobium ferrooxidans	species
Chlorobium limicola	Chlorobium limicola	species
Chlorobium phaeobacteroides	Chlorobium phaeobacteroides	species
Chloroflexus aggregans	Chloroflexus aggregans	species
Chloroflexus aurantiacus	Chloroflexus aurantiacus	species
Chloroherpeton thalassium	Chloroherpeton thalassium	species
Chondromyces crocatus	Chondromyces crocatus	species
Christensenella minuta	Christensenella minuta	species
Chromatium okenii	Chromatium okenii	species
Chromobacterium subtsugae	Chromobacterium subtsugae	species
Chromobacterium violaceum	Chromobacterium violaceum	species
Chromohalobacter canadensis	Chromohalobacter canadensis	species
Chromohalobacter israelensis	Chromohalobacter israelensis	species
Chromohalobacter salexigens	Chromohalobacter salexigens	species
Chryseobacterium daecheongense	Chryseobacterium daecheongense	species
Chryseobacterium gleum	Chryseobacterium gleum	species
Chryseobacterium piscium	Chryseobacterium piscium	species
Chryseobacterium scophthalmum	Chryseobacterium scophthalmum	species
Chryseolinea serpens	Chryseolinea serpens	species
Chrysiogenes arsenatis	Chrysiogenes arsenatis	species
Chthoniobacter flavus	Chthoniobacter flavus	species
Citreimonas salinaria	Citreimonas salinaria	species
Citricoccus muralis	Citricoccus muralis	species
Citrobacter amalonaticus	Citrobacter amalonaticus	species
Citrobacter freundii	Citrobacter freundii	species
Citrobacter koseri	Citrobacter koseri	species
Citrobacter youngae	Citrobacter youngae	species
Citromicrobium bathyomarinum	Citromicrobium bathyomarinum	species
Clavibacter michiganensis	Clavibacter michiganensis	species
Clonothrix	Clonothrix	genus
Closterium lunula	Closterium lunula	species
Clostridium	Clostridium	genus
Clostridium aceticum	Clostridium aceticum	species
Clostridium acetobutylicum	Clostridium acetobutylicum	species
Clostridium acidisoli	Clostridium acidisoli	species
Clostridium aciditolerans	Clostridium aciditolerans	species
Clostridium aestuarii	Clostridium aestuarii	species
Clostridium akagii	Clostridium akagii	species
Clostridium algidicarnis	Clostridium algidicarnis	species
Clostridium aurantibutyricum	Clostridium aurantibutyricum	species
Clostridium autoethanogenum	Clostridium autoethanogenum	species
Clostridium baratii	Clostridium baratii	species
Clostridium beijerinckii	Clostridium beijerinckii	species
Clostridium botulinum	Clostridium botulinum	species
Clostridium bowmanii	Clostridium bowmanii	species
Clostridium butyricum	Clostridium butyricum	species
Clostridium cadaveris	Clostridium cadaveris	species
Clostridium carboxidivorans	Clostridium carboxidivorans	species
Clostridium celatum	Clostridium celatum	species
Clostridium cellulovorans	Clostridium cellulovorans	species
Clostridium chartatabidum	Clostridium chartatabidum	species
Clostridium chauvoei	Clostridium chauvoei	species
Clostridium cochlearium	Clostridium cochlearium	species
Clostridium colicanis	Clostridium colicanis	species
Clostridium collagenovorans	Clostridium collagenovorans	species
Clostridium cylindrosporum	Clostridium cylindrosporum	species
Clostridium diolis	Clostridium diolis	species
Clostridium disporicum	Clostridium disporicum	species
Clostridium drakei	Clostridium drakei	species
Clostridium estertheticum	Clostridium estertheticum	species
Clostridium felsineum	Clostridium felsineum	species
Clostridium formicaceticum	Clostridium formicaceticum	species
Clostridium frigidicarnis	Clostridium frigidicarnis	species
Clostridium frigoris	Clostridium frigoris	species
Clostridium ganghwense	Clostridium ganghwense	species
Clostridium gasigenes	Clostridium gasigenes	species
Clostridium grantii	Clostridium grantii	species
Clostridium haemolyticum	Clostridium haemolyticum	species
Clostridium homopropionicum	Clostridium homopropionicum	species
Clostridium intestinale	Clostridium intestinale	species
Clostridium kluyveri	Clostridium kluyveri	species
Clostridium lacusfryxellense	Clostridium lacusfryxellense	species
Clostridium ljungdahlii	Clostridium ljungdahlii	species
Clostridium longisporum	Clostridium longisporum	species
Clostridium magnum	Clostridium magnum	species
Clostridium novyi	Clostridium novyi	species
Clostridium paraputrificum	Clostridium paraputrificum	species
Clostridium pascui	Clostridium pascui	species
Clostridium pasteurianum	Clostridium pasteurianum	species
Clostridium peptidivorans	Clostridium peptidivorans	species
Clostridium perfringens	Clostridium perfringens	species
Clostridium polyendosporum	Clostridium polyendosporum	species
Clostridium psychrophilum	Clostridium psychrophilum	species
Clostridium putrefaciens	Clostridium putrefaciens	species
Clostridium quinii	Clostridium quinii	species
Clostridium ragsdalei	Clostridium ragsdalei	species
Clostridium roseum	Clostridium roseum	species
Clostridium saccharobutylicum	Clostridium saccharobutylicum	species
Clostridium saccharoperbutylacetonicum	Clostridium saccharoperbutylacetonicum	species
Clostridium sardiniense	Clostridium sardiniense	species
Clostridium sartagoforme	Clostridium sartagoforme	species
Clostridium scatologenes	Clostridium scatologenes	species
Clostridium schirmacherense	Clostridium schirmacherense	species
Clostridium septicum	Clostridium septicum	species
Clostridium sporogenes	Clostridium sporogenes	species
Clostridium subterminale	Clostridium subterminale	species
Clostridium tertium	Clostridium tertium	species
Clostridium tetani	Clostridium tetani	species
Clostridium tetanomorphum	Clostridium tetanomorphum	species
Clostridium thermobutyricum	Clostridium thermobutyricum	species
Clostridium thermopalmarium	Clostridium thermopalmarium	species
Clostridium tyrobutyricum	Clostridium tyrobutyricum	species
Clostridium uliginosum	Clostridium uliginosum	species
Clostridium vincentii	Clostridium vincentii	species
Cohaesibacter gelatinilyticus	Cohaesibacter gelatinilyticus	species
Cohnella boryungensis	Cohnella boryungensis	species
Cohnella cellulosilytica	Cohnella cellulosilytica	species
Cohnella ferri	Cohnella ferri	species
Cohnella formosensis	Cohnella formosensis	species
Cohnella plantaginis	Cohnella plantaginis	species
Cohnella terrae	Cohnella terrae	species
Cohnella thailandensis	Cohnella thailandensis	species
Cohnella xylanilytica	Cohnella xylanilytica	species
Collinsella aerofaciens	Collinsella aerofaciens	species
Colwellia psychrerythraea	Colwellia psychrerythraea	species
Colwellia psychrotropica	Colwellia psychrotropica	species
Colwellia rossensis	Colwellia rossensis	species
Comamonas denitrificans	Comamonas denitrificans	species
Comamonas nitrativorans	Comamonas nitrativorans	species
Comamonas testosteroni	Comamonas testosteroni	species
Compostimonas suwonensis	Compostimonas suwonensis	species
Conexibacter arvalis	Conexibacter arvalis	species
Conexibacter woesei	Conexibacter woesei	species
Congregibacter litoralis	Congregibacter litoralis	species
Coprococcus comes	Coprococcus comes	species
Coprococcus eutactus	Coprococcus eutactus	species
Coprothermobacter platensis	Coprothermobacter platensis	species
Coprothermobacter proteolyticus	Coprothermobacter proteolyticus	species
Coraliomargarita akajimensis	Coraliomargarita akajimensis	species
Corynebacterium ammoniagenes	Corynebacterium ammoniagenes	species
Corynebacterium amycolatum	Corynebacterium amycolatum	species
Corynebacterium appendicis	Corynebacterium appendicis	species
Corynebacterium aurimucosum	Corynebacterium aurimucosum	species
Corynebacterium auriscanis	Corynebacterium auriscanis	species
Corynebacterium bovis	Corynebacterium bovis	species
Corynebacterium callunae	Corynebacterium callunae	species
Corynebacterium canis	Corynebacterium canis	species
Corynebacterium casei	Corynebacterium casei	species
Corynebacterium caspium	Corynebacterium caspium	species
Corynebacterium confusum	Corynebacterium confusum	species
Corynebacterium cyclohexanicum	Corynebacterium cyclohexanicum	species
Corynebacterium cystitidis	Corynebacterium cystitidis	species
Corynebacterium diphtheriae	Corynebacterium diphtheriae	species
Corynebacterium doosanense	Corynebacterium doosanense	species
Corynebacterium durum	Corynebacterium durum	species
Corynebacterium efficiens	Corynebacterium efficiens	species
Corynebacterium falsenii	Corynebacterium falsenii	species
Corynebacterium freiburgense	Corynebacterium freiburgense	species
Corynebacterium glaucum	Corynebacterium glaucum	species
Corynebacterium glucuronolyticum	Corynebacterium glucuronolyticum	species
Corynebacterium glutamicum	Corynebacterium glutamicum	species
Corynebacterium halotolerans	Corynebacterium halotolerans	species
Corynebacterium jeikeium	Corynebacterium jeikeium	species
Corynebacterium kutscheri	Corynebacterium kutscheri	species
Corynebacterium lipophiloflavum	Corynebacterium lipophiloflavum	species
Corynebacterium macginleyi	Corynebacterium macginleyi	species
Corynebacterium marinum	Corynebacterium marinum	species
Corynebacterium mastitidis	Corynebacterium mastitidis	species
Corynebacterium matruchotii	Corynebacterium matruchotii	species
Corynebacterium minutissimum	Corynebacterium minutissimum	species
Corynebacterium mycetoides	Corynebacterium mycetoides	species
Corynebacterium pilosum	Corynebacterium pilosum	species
Corynebacterium propinquum	Corynebacterium propinquum	species
Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum	species
Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	species
Corynebacterium renale	Corynebacterium renale	species
Corynebacterium resistens	Corynebacterium resistens	species
Corynebacterium riegelii	Corynebacterium riegelii	species
Corynebacterium simulans	Corynebacterium simulans	species
Corynebacterium singulare	Corynebacterium singulare	species
Corynebacterium sphenisci	Corynebacterium sphenisci	species
Corynebacterium spheniscorum	Corynebacterium spheniscorum	species
Corynebacterium sputi	Corynebacterium sputi	species
Corynebacterium stationis	Corynebacterium stationis	species
Corynebacterium striatum	Corynebacterium striatum	species
Corynebacterium sundsvallense	Corynebacterium sundsvallense	species
Corynebacterium terpenotabidum	Corynebacterium terpenotabidum	species
Corynebacterium testudinoris	Corynebacterium testudinoris	species
Corynebacterium thomssenii	Corynebacterium thomssenii	species
Corynebacterium ulcerans	Corynebacterium ulcerans	species
Corynebacterium urealyticum	Corynebacterium urealyticum	species
Corynebacterium ureicelerivorans	Corynebacterium ureicelerivorans	species
Corynebacterium vitaeruminis	Corynebacterium vitaeruminis	species
Corynebacterium xerosis	Corynebacterium xerosis	species
Costertonia aggregata	Costertonia aggregata	species
Couchioplanes caeruleus	Couchioplanes caeruleus	species
Coxiella burnetii	Coxiella burnetii	species
Craurococcus roseus	Craurococcus roseus	species
Crenothrix	Crenothrix	genus
Croceibacter atlanticus	Croceibacter atlanticus	species
Croceitalea dokdonensis	Croceitalea dokdonensis	species
Croceitalea eckloniae	Croceitalea eckloniae	species
Crocosphaera watsonii	Crocosphaera watsonii	species
Cronobacter condimenti	Cronobacter condimenti	species
Cronobacter dublinensis	Cronobacter dublinensis	species
Cronobacter malonaticus	Cronobacter malonaticus	species
Cronobacter sakazakii	Cronobacter sakazakii	species
Cronobacter turicensis	Cronobacter turicensis	species
Cronobacter universalis	Cronobacter universalis	species
Crossiella cryophila	Crossiella cryophila	species
Cryobacterium mesophilum	Cryobacterium mesophilum	species
Cryobacterium psychrotolerans	Cryobacterium psychrotolerans	species
Cryobacterium roopkundense	Cryobacterium roopkundense	species
Cryomorpha ignava	Cryomorpha ignava	species
Cryptosporangium arvum	Cryptosporangium arvum	species
Cryptosporangium aurantiacum	Cryptosporangium aurantiacum	species
Cryptosporangium minutisporangium	Cryptosporangium minutisporangium	species
Curtobacterium albidum	Curtobacterium albidum	species
Curtobacterium citreum	Curtobacterium citreum	species
Curtobacterium flaccumfaciens	Curtobacterium flaccumfaciens	species
Curtobacterium luteum	Curtobacterium luteum	species
Curtobacterium pusillum	Curtobacterium pusillum	species
Cyanobacteria	Cyanobacteria	phylum
Cyclobacterium amurskyense	Cyclobacterium amurskyense	species
Cycloclasticus oligotrophus	Cycloclasticus oligotrophus	species
Cycloclasticus pugetii	Cycloclasticus pugetii	species
Cytophaga aurantiaca	Cytophaga aurantiaca	species
Cytophaga hutchinsonii	Cytophaga hutchinsonii	species
Dactylosporangium aurantiacum	Dactylosporangium aurantiacum	species
Dechloromonas agitata	Dechloromonas agitata	species
Dechloromonas denitrificans	Dechloromonas denitrificans	species
Dechloromonas hortensis	Dechloromonas hortensis	species
Deferribacter abyssi	Deferribacter abyssi	species
Deferribacter autotrophicus	Deferribacter autotrophicus	species
Deferribacter desulfuricans	Deferribacter desulfuricans	species
Deferribacter thermophilus	Deferribacter thermophilus	species
Deferrisoma camini	Deferrisoma camini	species
Defluviitoga tunisiensis	Defluviitoga tunisiensis	species
Dehalobacter restrictus	Dehalobacter restrictus	species
Dehalococcoides mccartyi	Dehalococcoides mccartyi	species
Dehalogenimonas alkenigignens	Dehalogenimonas alkenigignens	species
Deinococcus geothermalis	Deinococcus geothermalis	species
Deinococcus radiopugnans	Deinococcus radiopugnans	species
Delftia lacustris	Delftia lacustris	species
Delftia tsuruhatensis	Delftia tsuruhatensis	species
Demequina aestuarii	Demequina aestuarii	species
Demequina globuliformis	Demequina globuliformis	species
Demequina lutea	Demequina lutea	species
Demequina oxidasica	Demequina oxidasica	species
Demequina salsinemoris	Demequina salsinemoris	species
Denitratisoma oestradiolicum	Denitratisoma oestradiolicum	species
Denitrobacterium detoxificans	Denitrobacterium detoxificans	species
Denitrovibrio acetiphilus	Denitrovibrio acetiphilus	species
Dermabacter hominis	Dermabacter hominis	species
Dermacoccus abyssi	Dermacoccus abyssi	species
Dermacoccus barathri	Dermacoccus barathri	species
Dermacoccus profundi	Dermacoccus profundi	species
Dermatophilus congolensis	Dermatophilus congolensis	species
Derxia gummosa	Derxia gummosa	species
Derxia lacustris	Derxia lacustris	species
Desertibacter roseus	Desertibacter roseus	species
Desulfacinum hydrothermale	Desulfacinum hydrothermale	species
Desulfacinum infernum	Desulfacinum infernum	species
Desulfarculus baarsii	Desulfarculus baarsii	species
Desulfatitalea tepidiphila	Desulfatitalea tepidiphila	species
Desulfitispora alkaliphila	Desulfitispora alkaliphila	species
Desulfitobacterium aromaticivorans	Desulfitobacterium aromaticivorans	species
Desulfitobacterium chlororespirans	Desulfitobacterium chlororespirans	species
Desulfitobacterium dehalogenans	Desulfitobacterium dehalogenans	species
Desulfitobacterium hafniense	Desulfitobacterium hafniense	species
Desulfitobacterium hafniense DCB-2	Desulfitobacterium hafniense DCB-2	species
Desulfitobacterium metallireducens	Desulfitobacterium metallireducens	species
Desulfobacca acetoxidans	Desulfobacca acetoxidans	species
Desulfobacter latus	Desulfobacter latus	species
Desulfobacterium niacini	Desulfobacterium niacini	species
